Frame,LFSW,RFSW,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EM10
1,5.1163,0,-0.0439,-0.2197,1.9479,-1.0692,0.0439,-5.6241,-0.1416,-0.0732,-0.3515,0.1416
2,5.1163,0,-0.4784,-0.2246,0.9959,-1.4548,0.1367,-3.0122,-0.2343,0.1855,-0.1025,0.1758
3,5.1163,0,-0.7567,-0.122,0.4003,-0.6054,0.1806,0.7909,-0.1855,0.2148,0.2783,0.2148
4,5.1163,0,-0.7714,-0.166,-0.7616,0.083,-0.2392,4.6965,-0.0928,0.1611,0.4345,0.2392
5,5.1163,0,-0.6102,-0.2246,-2.3385,-0.6591,-0.5663,8.0455,0,0.332,0.3661,0.2978
6,5.1163,0,-0.1465,0.0537,-2.9097,0.2343,-0.4589,9.9935,0.0635,0.498,0.8006,0.1806
7,5.1163,0,0.5956,0.3076,-2.1334,1.7819,-0.0928,9.9935,0.0391,0.7909,1.2205,-0.0635
8,5.1163,0,1.0643,0.4589,-1.4255,1.6404,-0.0976,9.4808,0.0537,0.4296,1.2693,-0.2636
9,5.1163,0,1.0203,0.664,-0.7225,1.6941,-0.1758,8.109,0.0098,0.0635,1.1424,-0.4443
10,5.1163,0,0.9764,0.8495,0.5175,1.8991,0.1709,5.8633,-0.0049,0.332,0.8055,-0.371
11,5.1163,0,0.9081,0.7225,1.2644,1.45,0.498,3.4857,0.1416,0.3369,0.2929,-0.3613
12,5.1163,0,0.6835,0.332,1.24,1.0399,0.4345,1.2351,0.083,0.2002,-0.1709,-0.6395
13,5.1163,0,0.4491,0.0391,0.8934,0.7225,0.2246,-0.9081,0.1855,0.1074,-0.4882,-0.62
14,5.1163,0,0.2832,0.2099,1.1863,0.371,-0.1123,-2.6119,0.2636,-0.0537,-0.7421,-0.3466
15,5.1163,0,0.1172,0.332,1.157,0.122,-0.0635,-3.8519,-0.2246,-0.2539,-0.8446,-0.1269
16,5.1163,0,-0.0293,0.1904,1.2303,-0.0879,0.0635,-4.6428,-0.2539,-0.2002,-0.7518,0.1465
